IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5
IREDA (Indian Renewable Energy Dev Agency),29-Nov-23,Green Finance / PSU NBFC,35,32,50.0,60.0,56.25,87.5,31.25,104.57,24.16,7.71,1.96,4.56,38.79,21.875,25.0,25.0,21.875,21.875,10.0,6.77,8.47,90.49,0.8470000000000001,2.94,4.51,7.57,4.57,2150.21,1290.13,860.08,7,8,8,7,7
Gandhar Oil Refinery (India),30-Nov-23,Specialty Oils / White Oils & Petroleum,35,169,298.0,301.4,76.33136094674556,78.34319526627218,2.0118343195266135,129.0,62.23,28.92,5.54,15.27,64.05,30.76923076923077,32.544378698224854,35.50295857988166,38.46153846153846,41.42011834319526,20.0,0.22,7.11,7.76,0.35550000000000004,1.9,2.39,6.73,2.45,500.69,302.0,198.69,52,55,60,65,70
Tata Technologies,30-Nov-23,IT Services / Automotive Engineering ER&D,35,500,1200.0,1313.0,140.0,162.6,22.599999999999994,203.41,62.1,16.47,6.55,14.86,69.41,70.0,71.0,66.0,72.0,78.0,67.0,0.08,32.53,20.59,0.4855223880597015,1.71,1.67,5.52,1.62,3042.51,0.0,3042.51,350,355,330,360,390
Fedbank Financial Services (FedFina),30-Nov-23,Gold Loan NBFC / Retail Finance,35,140,138.0,140.25,-1.4285714285714286,0.17857142857142858,1.6071428571428572,3.51,1.45,1.82,0.38,0.9,2.2,7.142857142857143,5.714285714285714,5.714285714285714,5.714285714285714,3.5714285714285716,12.5,,25.04,68.19,2.0032,3.59,4.85,8.45,5.27,1092.26,600.77,492.26,10,8,8,8,5
Flair Writing Industries,01-Dec-23,Stationery / Writing Instruments FMCG,35,304,501.0,450.9,64.80263157894737,48.32236842105262,-16.480263157894747,115.6,33.37,12.99,2.18,6.12,46.67,19.736842105263158,18.092105263157894,19.07894736842105,19.736842105263158,23.026315789473685,26.0,0.26,24.01,19.47,0.9234615384615386,3.59,4.85,8.45,5.27,593.0,292.0,301.0,60,55,58,60,70
India Shelter Finance Corporation,20-Dec-23,Affordable Housing Finance / HFC,35,493,620.0,544.7,25.760649087221097,10.48681541582151,-15.273833671399586,89.7,28.47,9.79,1.48,4.36,36.62,40.56795131845842,37.52535496957404,30.425963488843813,32.454361054766736,32.454361054766736,28.0,2.12,28.22,71.65,1.0078571428571428,0.88,1.35,8.94,2.4,1200.0,800.0,400.0,200,185,150,160,160
DOMS Industries,20-Dec-23,Stationery / Art & Office Supplies,10,790,1400.0,1326.05,77.21518987341773,67.85443037974683,-9.360759493670898,115.97,66.47,69.1,5.72,15.2,93.4,58.22784810126582,54.43037974683544,58.22784810126582,60.75949367088607,63.29113924050633,32.0,0.28,43.19,15.4,1.3496875,-1.43,1.07,7.39,1.07,1200.0,350.0,850.0,460,430,460,480,500
INOX India,21-Dec-23,Industrial Gases / Cryogenic Equipment,35,660,949.65,939.95,43.88636363636363,42.41666666666667,-1.4696969696969617,147.8,52.97,14.82,2.79,7.14,60.99,37.878787878787875,45.45454545454545,64.39393939393939,68.18181818181819,80.3030303030303,31.5,,39.22,22.62,1.245079365079365,-0.76,0.34,7.44,0.34,1459.32,0.0,1459.32,250,300,425,450,530
Motisons Jewellers,26-Dec-23,Gold Jewellery / Retail,35,55,105.0,103.55,90.9090909090909,88.27272727272727,-2.6363636363636402,157.4,233.69,121.13,15.02,51.5,158.96,172.72727272727272,172.72727272727272,181.8181818181818,200.0,181.8181818181818,20.0,1.2,16.08,13.55,0.8039999999999999,1.38,-0.05,8.32,0.11,151.09,151.09,0.0,95,95,100,110,100
Muthoot Microfin,26-Dec-23,Microfinance / MFI NBFC,35,291,275.3,265.15,-5.395189003436422,-8.883161512027499,-3.487972508591077,17.47,13.19,7.56,0.83,2.83,11.49,34.36426116838488,34.36426116838488,30.927835051546392,24.054982817869416,20.61855670103093,15.0,3.99,24.96,55.19,1.6640000000000001,1.88,2.39,9.4,1.1,960.0,760.0,200.0,100,100,90,70,60
Suraj Estate Developers,26-Dec-23,Real Estate / Premium Residential Mumbai,35,360,340.0,334.5,-5.555555555555555,-7.083333333333333,-1.5277777777777777,24.31,18.88,9.18,0.72,2.42,15.58,15.277777777777779,15.277777777777779,18.055555555555557,18.055555555555557,18.055555555555557,40.0,8.31,35.64,49.39,0.891,1.38,-0.05,8.32,0.11,400.0,400.0,0.0,55,55,65,65,65
RBZ Jewellers,27-Dec-23,Gold Jewellery / Diamonds,35,100,100.0,105.0,0.0,5.0,5.0,13.43,9.23,24.3,2.28,7.15,16.65,10.0,10.0,7.0,7.0,7.0,20.0,1.02,13.44,13.71,0.6719999999999999,-0.98,-0.63,4.01,0.79,100.0,100.0,0.0,10,10,7,7,7
Credo Brands Marketing (MUFTI),27-Dec-23,Premium Apparel / Fashion Brand,35,280,282.35,312.2,0.8392857142857224,11.499999999999996,10.660714285714274,104.95,55.41,19.62,2.09,6.95,51.67,42.857142857142854,39.285714285714285,43.57142857142857,46.42857142857143,46.42857142857143,30.0,0.65,23.22,32.89,0.7739999999999999,1.38,-0.05,8.32,-0.05,549.78,0.0,549.78,120,110,122,130,130
Happy Forgings,27-Dec-23,Auto Forgings / Heavy Engineering,35,850,1000.0,1030.8,17.647058823529413,21.270588235294113,3.6235294117647,220.48,62.09,14.88,2.32,7.47,81.91,52.94117647058823,50.0,51.76470588235294,51.76470588235294,50.588235294117645,22.0,0.22,36.45,28.49,1.656818181818182,1.88,2.39,9.4,0.94,1008.59,400.0,608.59,450,425,440,440,430
Azad Engineering,28-Dec-23,Precision Engineering / Aerospace & Energy,35,524,720.0,677.5,37.404580152671755,29.293893129770993,-8.110687022900763,179.66,87.54,23.69,3.31,11.11,80.59,76.33587786259542,82.06106870229007,85.87786259541984,78.2442748091603,70.61068702290076,50.0,1.47,292.74,28.72,5.8548,2.01,2.46,9.5,2.97,740.0,240.0,500.0,400,430,450,410,370
Innova Captab,29-Dec-23,Pharma CDMO / Contract Manufacturing,35,448,452.1,541.4,0.9151785714285765,20.84821428571428,19.933035714285705,116.73,64.95,17.15,1.41,3.75,55.26,46.875,46.875,33.482142857142854,22.321428571428573,29.017857142857142,25.0,0.85,31.64,13.26,1.2656,2.01,2.46,9.5,2.46,570.0,320.0,250.0,210,210,150,100,130
